state,governor,date_of_1st_case,date_of_1st_death,stay_at_home_order,date_of_stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gatherings_ban,state_mandated_school_closures,bar_restaurant_limits,emergency_declaration,population,latitude,longitude,area,pop_density,days_from_case_to_death,response_stay_home,response_school,response_emergency,cases_3_29,cluster_pop,retail_recreation_2020-03-29,retail_recreation_2020-04-05,retail_recreation_2020-04-11,grocery_pharmacy_2020-03-29,grocery_pharmacy_2020-04-05,grocery_pharmacy_2020-04-11,parks_2020-03-29,parks_2020-04-05,parks_2020-04-11,transit_stations_2020-03-29,transit_stations_2020-04-05,transit_stations_2020-04-11,workplaces_2020-03-29,workplaces_2020-04-05,workplaces_2020-04-11,residential_2020-03-29,residential_2020-04-05,residential_2020-04-11,confirmed_cases_2020-03-29,confirmed_cases_2020-04-05,confirmed_cases_2020-04-11,cases_per_capita_2020-03-29,cases_per_capita_2020-04-05,cases_per_capita_2020-04-11,rate_2020-03-29,rate_2020-04-05,rate_2020-04-11,euclidean_dist_avg_2020-03-29,euclidean_dist_avg_2020-04-05,euclidean_dist_avg_2020-04-11,cluster_k_means_2020-03-29,cluster_k_means_2020-04-05,cluster_k_means_2020-04-11,social_dist_score_2020-03-29,social_dist_score_2020-04-05,social_dist_score_2020-04-11,avg_response_time,avg_dist_score
Hawaii,Democrat,2020-03-06,2020-03-30,Statewide,2020-03-17,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-04,1360301,21.094318,-157.498337,10931,124.44433263196414,24,11,9,-2,173,1,-56,-55,-55,-36,-26,-29,-65,-67,-66,-72,-76,-74,-45,-46,-47,16,16,18,173,371,486,1.2717773492778437e-4,2.727337552497572e-4,3.5727386806302426e-4,0.4661017,0.1630094,0.09954751,4.099930808822356,3.9243902259865364,4.598887151874539,3,3,3,10.152293579643702,9.600450682233054,10.692315343947971,6,10.148353201941577
Idaho,Republican,2020-03-13,2020-03-26,Statewide,2020-03-19,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-25,Closed except for takeout/delivery,2020-03-13,1567582,44.240459,-114.478828,83570,18.757712097642695,13,6,12,0,314,3,-42,-40,-40,-18,-14,0,25,30,12,-34,-36,-35,-38,-39,-34,10,10,11,314,1100,1407,2.0030850060794267e-4,7.017176772889711e-4,8.975607017687113e-4,0.3418803,0.08803165,0.03991131,1.2995773551283083,1.5042440162945085,1.535868855448928,2,2,2,-2.0153856298968313,-2.465300535641414,-3.905148435244073,6,-2.7952782002607726
Illinois,Democrat,2020-01-24,2020-03-17,Statewide,2020-03-20,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-09,12830632,40.349457,-88.986137,57914,221.5462927789481,53,56,49,45,4596,2,-53,-50,-46,-24,-16,-1,-29,24,10,-55,-52,-46,-39,-39,-38,13,12,14,4596,11254,19180,3.582052700131997e-4,8.771196929348453e-4,0.0014948601128923346,0.518335,0.26862811,0.16794544,1.7554487519396564,0.6817481124269399,0.640107146862438,2,3,3,4.272765286774777,1.2526723435601237,-0.188129046592998,50,1.779102861247301
Indiana,Republican,2020-03-06,2020-03-16,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-06,6483802,39.849426,-86.258278,36418,178.03838761052228,10,17,13,0,1514,1,-48,-45,-40,25,-17,-2,24,54,70,-34,-35,-29,-36,-37,-36,11,10,12,1514,4409,7435,2.3350497131158538e-4,6.80002257934465e-4,0.0011467037395651502,0.5738046,0.28317811,0.17068178,4.273296428877012,1.4448380630048514,2.062590523918255,2,2,2,-5.046162840730871,-2.4577801755896997,-4.741085961189012,10,-4.081676325836528
Iowa,Republican,2020-03-08,2020-03-24,NA,NA,NA,Other,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-09,3046355,42.011539,-93.210526,56272,54.13624893375036,16,NA,7,1,336,3,-43,-39,-44,-10,1,7,41,134,40,-28,-28,-28,-29,-29,-28,10,8,12,336,868,1510,1.1029574688439134e-4,2.8493067945134433e-4,4.956743386768778e-4,0.4297872,0.24177396,0.18897638,2.2697639611852356,4.248068148772968,2.468593994170299,3,3,3,-5.029082819918962,-9.586678831653556,-5.804688314897803,NA,-6.806816655490107
Kansas,Democrat,2020-03-07,2020-03-12,Statewide,2020-03-23,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-17,Limited On-site Service,2020-03-12,2853118,38.5266,-96.726486,82277,34.67698141643473,5,16,10,5,320,3,-36,-43,-41,-14,-18,-3,72,25,97,-20,-30,-23,-30,-34,-31,9,10,11,320,747,1264,1.1215799697033211e-4,2.6181882417761903e-4,4.430240880328118e-4,0.5609756,0.20483871,0.14285714,3.177738813016568,1.6860734143153522,2.990761457989638,3,2,3,-7.187898329537232,-2.8773922095034394,-6.864164505317518,10.333333333333334,-5.643151681452729
Kentucky,Democrat,2020-03-06,2020-03-16,Statewide,2020-03-26,Other,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-06,4339367,37.66814,-84.670067,40409,107.38615159989111,10,20,10,0,396,1,-37,-39,-39,-11,-5,3,68,57,60,-34,-37,-36,-34,-36,-33,9,9,10,396,969,1845,9.125754977626921e-5,2.233044589222345e-4,4.2517722054852703e-4,0.3120805,0.25064267,0.21943159,2.457855818201901,2.2551821900644744,2.3181160876684856,2,2,2,-5.502455349617962,-4.935780138282692,-5.95224418426031,10,-5.4634932240536545
Louisiana,Democrat,2020-03-09,2020-03-14,Statewide,2020-03-22,NA,NA,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-11,4533372,31.169546,-91.867805,51840,87.44930555555555,5,13,4,2,3537,1,-45,-46,-45,-16,-10,-2,-18,-19,-35,-49,-54,-54,-35,-37,-36,11,12,14,3537,13010,20014,7.80213933469391e-4,0.002869828463227814,0.004414815285399036,0.2889942,0.2793785,0.09467812,0.7971385461057594,1.1762897316074628,1.2856076469947162,1,1,1,0.17346296899189767,0.9081646284456593,1.0223709676714516,6.333333333333333,0.7013328550363361
Maine,Democrat,2020-03-12,2020-03-27,Statewide,2020-03-31,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-31,Closed except for takeout/delivery,2020-03-15,1328361,44.693947,-69.381927,35385,37.54022891055532,15,19,19,3,253,3,-50,-50,-43,-22,-23,-2,-24,20,-16,-56,-59,-55,-31,-34,-33,10,10,10,253,470,615,1.9046027397672771e-4,3.538194813006404e-4,4.629765553189231e-4,0.5059524,0.08796296,0.09821429,1.5807368704883027,1.3595531348783438,1.7867803876761605,2,2,2,0.9694453179819817,0.7920736692867509,-1.7810685288301853,13.666666666666666,-0.0065165138538175365
Maryland,Republican,2020-03-05,2020-03-19,Statewide,2020-03-30,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-05,5773552,39.063946,-76.802101,12407,465.34633674538566,14,25,11,0,1242,2,-45,-47,-43,-25,-25,-14,29,35,24,-51,-53,-49,-39,-42,-39,13,14,15,1242,3609,7694,2.151188730957996e-4,6.25091797908809e-4,0.0013326285101441886,0.606727,0.30855693,0.24397736,1.1567942157055622,1.5728507651873154,1.202561900192226,3,3,3,1.5738385007610827,2.8067982470125763,1.0475007312957085,12,1.8093791596897892
Massachusetts,Republican,2020-02-01,2020-03-20,Statewide,2020-03-23,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-10,6547629,42.230171,-71.530106,10555,620.3343439128375,48,51,43,38,4851,4,-59,-53,-49,-36,-27,-12,-56,25,33,-73,-68,-64,-42,-42,-44,16,14,16,4851,12500,22859,7.408788738641118e-4,0.001909088007277138,0.003491187420667848,0.4972222,0.20169198,0.20685286,4.04653792550177,2.3079901752640537,2.416053404760191,2,3,1,9.908090643496786,5.166491810121521,3.896449783599494,44,6.323677412405934
Michigan,Democrat,2020-03-10,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-10,9883640,43.326618,-84.536095,96716,102.19239836221514,8,13,6,0,5465,1,-58,-55,-58,-28,-24,-15,15,92,59,-55,-53,-51,-43,-44,-45,12,11,16,5465,15714,23993,5.529339393179031e-4,0.0015899000772994565,0.0024275469361490303,0.4948031,0.23345632,0.1157978,2.3722885628559105,2.515450131103302,3.0802010525924435,3,3,3,4.6557273804588,1.697044236113659,4.111538416256808,6.333333333333333,3.4881033442764227
Minnesota,Democrat,2020-03-06,2020-03-21,Statewide,2020-03-25,NA,NA,NA,2020-03-15,Closed except for takeout/delivery,2020-03-13,5303925,45.694454,-93.900192,86939,61.007430497245196,15,19,9,7,503,3,-58,-46,-44,-35,-18,-2,-16,98,50,-64,-58,-51,-38,-37,-36,14,12,14,503,928,1427,9.483542847985218e-5,1.7496476665865374e-4,2.6904603666152895e-4,0.270202,0.17766497,0.14618474,2.85479562616111,2.0401012405732395,1.1462473369496409,1,2,2,6.57264549308488,-0.7908865174052935,-1.3158123926219705,11.666666666666666,1.4886488610192055
