state,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,governor,date_of_1st_case,date_of_1st_death,stay_at_home_order,date_of_stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gatherings_ban,state_mandated_school_closures,bar_restaurant_limits,emergency_declaration,population,latitude,longitude,confirmed_cases,rate,area,pop_density,days_from_case_to_death,response_stay_home,response_school,response_emergency,cases_per_capita,euclidean_dist_avg,cases_3_29,cluster_pop,cluster_k_means,social_dist_score,diff_score,diff_cases_capita,diff_rate
South Dakota,2020-03-29,-35,-3,126,-31,-25,8,Republican,2020-03-10,2020-03-10,NA,NA,NA,NA,>10 People Prohibited,2020-03-13,NA,2020-03-13,814180,44.299782,-99.438828,90,0.5517241,77117,10.557723977851836,0,NA,3,3,1.1054066668304306e-4,4.390678214524114,90,3,3,-10.112271659159354,9.345242711320141,6.58331081579012e-4,-0.15127667000000006
Tennessee,2020-03-29,-35,-9,35,-35,-34,8,Republican,2020-03-05,2020-03-20,Statewide,2020-03-30,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-12,6346105,35.747845,-86.692345,1579,0.3147377,42143,150.58503191514606,15,25,11,7,2.48814036326219e-4,2.5431333500854936,1579,1,3,-5.536531709699168,0.9611640544029969,5.565618595973435e-4,-0.21132665
Texas,2020-03-29,-45,-23,-27,-47,-36,13,Republican,2020-02-12,2020-03-16,Other,2020-03-31,From Certain States,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,25145561,31.054487,-97.563461,2663,0.3906005,268581,93.62375223861703,33,48,36,30,1.0590338390143692e-4,1.1178870773730845,2663,1,2,1.8665777683905,1.5065279529012567,4.094161987477631e-4,-0.16386567000000002
Utah,2020-03-29,-41,-14,26,-44,-40,10,Republican,2020-02-25,2020-03-22,High-risk Groups,2020-03-27,All Travelers,NA,NA,2020-03-13,Closed except for takeout/delivery,2020-03-06,2763885,40.150032,-111.862434,712,0.4771784,84899,32.55497709042509,26,31,17,10,2.576084026650892e-4,1.3540889458758123,712,3,2,-1.473638394851246,-1.1710516358277914,5.405434741315214e-4,-0.362474
Vermont,2020-03-29,-62,-42,-55,-71,-43,13,Republican,2020-03-07,2020-03-19,Statewide,2020-03-24,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,625741,44.045876,-72.710686,234,0.2717391,9614,65.08643644684835,12,17,8,6,3.739566370111596e-4,4.102673243299995,234,3,1,9.702210395972573,-3.611476956324953,7.622962215996714e-4,-0.13957349000000002
Virginia,2020-03-29,-39,-16,46,-50,-36,11,Democrat,2020-03-07,2020-03-14,Statewide,2020-03-30,NA,Other,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-12,8001024,37.769337,-78.169968,888,0.4701987,42774,187.05344368074063,7,23,6,5,1.1098579381839125e-4,1.4200935680054951,888,1,2,-1.9299528416173506,0.9052505318401267,5.234330005759263e-4,-0.21438475
Washington,2020-03-29,-48,-26,-11,-56,-41,13,Democrat,2020-01-21,2020-02-26,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-02-29,6724540,47.400902,-121.490494,4896,0.3024741,71300,94.31332398316971,36,62,52,39,7.280795415002364e-4,1.5421020362797113,4896,1,2,3.748247104840518,-1.9736400229124813,7.923218539855513e-4,-0.23813931000000002
West Virginia,2020-03-29,-38,-16,52,-31,-33,8,Republican,2020-03-17,2020-03-29,Statewide,2020-03-23,From Certain States,All Non-Essential Businesses,Other,2020-03-13,Closed except for takeout/delivery,2020-03-04,1852994,38.491226,-80.954453,123,0.28125,24230,76.47519603796945,12,6,-4,-13,6.6379060050923e-5,2.3908863730387573,123,3,3,-5.321770530055834,0.9355733452703658,2.525642284864387e-4,-0.14471154
Wisconsin,2020-03-29,-55,-30,-12,-50,-34,13,Democrat,2020-02-05,2020-03-19,Statewide,2020-03-24,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-18,Closed except for takeout/delivery,2020-03-12,5686986,44.268543,-89.616508,1112,0.3206651,65498,86.82686494244099,43,48,42,36,1.9553415464711887e-4,1.8439927393799642,1112,3,1,3.4604500713895363,-6.900908444668401,3.694399810374071e-4,-0.20697358999999999
Wyoming,2020-03-29,-37,-13,29,-14,-29,8,Republican,2020-03-11,2020-04-13,NA,NA,All Travelers,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,563626,42.755966,-107.30249,85,0.1643836,97814,5.762222176784509,33,NA,8,2,1.5080922455670958e-4,3.314532081794846,85,3,3,-7.146962765444126,2.677397927927691,3.1226380614095164e-4,-0.07233339
Alabama,2020-04-05,-50,-18,-1,-40,-36,12,Republican,2020-03-13,2020-03-25,Statewide,2020-04-03,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-17,Closed except for takeout/delivery,2020-03-13,4779736,32.806671,-86.79113,1840,0.19947849,52419,91.18327324061886,12,21,4,0,3.8495849979998896e-4,0.9731558134961009,825,3,2,0.6177176994575305,-1.3548656299879678,5.098607956590071e-4,-0.14167881
