state,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,governor,date_of_1st_case,date_of_1st_death,stay_at_home_order,date_of_stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gatherings_ban,state_mandated_school_closures,bar_restaurant_limits,emergency_declaration,population,latitude,longitude,confirmed_cases,rate,area,pop_density,days_from_case_to_death,response_stay_home,response_school,response_emergency,cases_per_capita,euclidean_dist_avg,cases_3_29,cluster_pop,cluster_k_means,social_dist_score,diff_score,diff_cases_capita,diff_rate
Idaho,2020-04-05,-40,-14,30,-36,-39,10,Republican,2020-03-13,2020-03-26,Statewide,2020-03-19,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-25,Closed except for takeout/delivery,2020-03-13,1567582,44.240459,-114.478828,1100,0.08803165,83570,18.757712097642695,13,6,12,0,7.017176772889711e-4,1.5042440162945085,314,3,2,-2.465300535641414,-1.8897628053472415,6.972522011607687e-4,-0.30196899000000005
Illinois,2020-04-05,-50,-16,24,-52,-39,12,Democrat,2020-01-24,2020-03-17,Statewide,2020-03-20,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-09,12830632,40.349457,-88.986137,11254,0.26862811,57914,221.5462927789481,53,56,49,45,8.771196929348453e-4,0.6817481124269399,4596,2,2,1.2526723435601237,-4.460894333367775,0.001136654842879135,-0.35038956
Indiana,2020-04-05,-45,-17,54,-35,-37,10,Republican,2020-03-06,2020-03-16,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-06,6483802,39.849426,-86.258278,4409,0.28317811,36418,178.03838761052228,10,17,13,0,6.80002257934465e-4,1.4448380630048514,1514,1,3,-2.4577801755896997,0.30507687954185947,9.131987682535649e-4,-0.40312282
Iowa,2020-04-05,-39,1,134,-28,-29,8,Republican,2020-03-08,2020-03-24,NA,NA,NA,Other,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-09,3046355,42.011539,-93.210526,868,0.24177396,56272,54.13624893375036,16,NA,7,1,2.8493067945134433e-4,4.248068148772968,336,3,3,-9.586678831653556,-0.7756054949788407,3.853785917924864e-4,-0.24081081999999998
Kansas,2020-04-05,-43,-18,25,-30,-34,10,Democrat,2020-03-07,2020-03-12,Statewide,2020-03-23,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-17,Limited On-site Service,2020-03-12,2853118,38.5266,-96.726486,747,0.20483871,82277,34.67698141643473,5,16,10,5,2.6181882417761903e-4,1.6860734143153522,320,3,2,-2.8773922095034394,0.32373382421971364,3.308660910624797e-4,-0.41811846
Kentucky,2020-04-05,-39,-5,57,-37,-36,9,Democrat,2020-03-06,2020-03-16,Statewide,2020-03-26,Other,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-06,4339367,37.66814,-84.670067,969,0.25064267,40409,107.38615159989111,10,20,10,0,2.233044589222345e-4,2.2551821900644744,396,1,3,-4.935780138282692,-0.44978883464234887,3.3391967077225785e-4,-0.09264890999999997
Louisiana,2020-04-05,-46,-10,-19,-54,-37,12,Democrat,2020-03-09,2020-03-14,Statewide,2020-03-22,NA,NA,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-11,4533372,31.169546,-91.867805,13010,0.2793785,51840,87.44930555555555,5,13,4,2,0.002869828463227814,1.1762897316074628,3537,1,2,0.9081646284456593,0.848907998679554,0.003634601351929645,-0.19431607999999997
Maine,2020-04-05,-50,-23,20,-59,-34,10,Democrat,2020-03-12,2020-03-27,Statewide,2020-03-31,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-31,Closed except for takeout/delivery,2020-03-15,1328361,44.693947,-69.381927,470,0.08796296,35385,37.54022891055532,15,19,19,3,3.538194813006404e-4,1.3595531348783438,253,3,2,0.7920736692867509,-2.750513846812167,2.725162813421954e-4,-0.40773811
Maryland,2020-04-05,-47,-25,35,-53,-42,14,Republican,2020-03-05,2020-03-19,Statewide,2020-03-30,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-05,5773552,39.063946,-76.802101,3609,0.30855693,12407,465.34633674538566,14,25,11,0,6.25091797908809e-4,1.5728507651873154,1242,2,2,2.8067982470125763,-0.5263377694653741,0.001117509637048389,-0.36274964
Massachusetts,2020-04-05,-53,-27,25,-68,-42,14,Republican,2020-02-01,2020-03-20,Statewide,2020-03-23,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-10,6547629,42.230171,-71.530106,12500,0.20169198,10555,620.3343439128375,48,51,43,38,0.001909088007277138,2.3079901752640537,4851,4,3,5.166491810121521,-6.011640859897293,0.0027503085468037363,-0.29036934000000003
Michigan,2020-04-05,-55,-24,92,-53,-44,11,Democrat,2020-03-10,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-10,9883640,43.326618,-84.536095,15714,0.23345632,96716,102.19239836221514,8,13,6,0,0.0015899000772994565,2.515450131103302,5465,1,1,1.697044236113659,-0.5441889642019921,0.001874612996831127,-0.3790053
Minnesota,2020-04-05,-46,-18,98,-58,-37,12,Democrat,2020-03-06,2020-03-21,Statewide,2020-03-25,NA,NA,NA,2020-03-15,Closed except for takeout/delivery,2020-03-13,5303925,45.694454,-93.900192,928,0.17766497,86939,61.007430497245196,15,19,9,7,1.7496476665865374e-4,2.0401012405732395,503,3,2,-0.7908865174052935,-7.888457885706851,1.742106081816768e-4,-0.12401725999999999
Mississippi,2020-04-05,-43,-14,-8,-37,-35,11,Republican,2020-03-11,2020-03-19,Statewide,2020-03-31,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-14,2967297,32.741646,-89.678696,1748,0.19726027,48430,61.26981209993806,8,20,8,3,5.890883184258266e-4,1.2806457886596154,756,3,2,-1.3938934318474636,2.4120452036450546,6.355952909331288e-4,-0.3919215
Missouri,2020-04-05,-43,-6,5,-40,-34,10,Republican,2020-03-07,2020-03-18,Statewide,2020-04-03,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-21,Closed except for takeout/delivery,2020-03-13,5988927,38.456085,-92.288368,2369,0.12221696,69704,85.91941638930334,11,27,14,6,3.9556334548743037e-4,1.6043478003628393,888,3,2,-2.7990579849588926,2.342159817093576,5.236330314261637e-4,-0.20232214
Montana,2020-04-05,-45,-17,23,-40,-36,9,Democrat,2020-03-13,2020-03-26,Statewide,2020-03-26,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-12,989415,46.921925,-110.454353,297,0.13358779,147042,6.72879177377892,13,13,2,-1,3.001773775412744e-4,1.209850853828845,161,3,2,-1.9581587750656453,4.138634444006335,1.728293991904307e-4,-0.3416667
Nebraska,2020-04-05,-40,-8,56,-25,-27,9,Republican,2020-02-17,2020-03-27,NA,NA,NA,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,1826341,41.12537,-98.268082,354,0.24647887,77354,23.610168834190862,39,NA,31,25,1.9383017738746488e-4,3.162755575116382,129,3,3,-6.971401615117382,3.168414527165316,3.1483715253613644e-4,-0.33411291
Nevada,2020-04-05,-49,-22,-46,-64,-55,15,Democrat,2020-03-05,2020-03-16,Statewide,2020-04-01,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,2700551,38.313515,-117.055374,1836,0.18375242,110561,24.42589158925842,11,27,10,8,6.798612579432864e-4,3.919247868043439,926,3,1,8.232159677684482,-0.6136214870543384,6.287605751566995e-4,-0.71236529
New Hampshire,2020-04-05,-48,-26,15,-57,-37,11,Republican,2020-03-02,2020-03-23,Statewide,2020-03-26,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,1316470,43.452492,-71.563896,669,0.23888889,9350,140.79893048128343,21,24,13,11,5.081771707672792e-4,1.0423462089464974,268,1,2,1.6932742771551832,-7.487999026502087,5.013407065865534e-4,-0.30006597
New Jersey,2020-04-05,-66,-11,26,-67,-45,16,Democrat,2020-03-04,2020-03-10,Statewide,2020-03-21,NA,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-09,8791894,40.298904,-74.521011,37505,0.25455762,8721,1008.1291136337576,6,17,12,5,0.004265861258108889,3.890018544997292,13386,4,2,6.814112865333396,-2.0511017908319724,0.00509162189626035,-0.38533069000000003
New Mexico,2020-04-05,-41,-11,-7,-33,-35,10,Democrat,2020-03-11,2020-03-25,Statewide,2020-03-23,All Air Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Limited On-site Service,2020-03-11,2059179,34.840515,-106.248482,626,0.26720648,121589,16.935569829507603,14,12,2,0,3.0400465428211923e-4,1.7564635001141768,234,3,2,-2.6706208508522815,1.7068606019375376,4.564926118613292e-4,-0.019127969999999994
New York,2020-04-05,-59,-28,-11,-68,-47,15,Democrat,2020-03-01,2020-03-14,Statewide,2020-03-20,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-07,19378102,42.165726,-74.948051,122178,0.17873268,54556,355.1965320038126,13,19,15,6,0.006304951847193291,3.37617696970489,59240,4,1,8.261839684956216,-2.447401479485726,0.006259281739769973,-0.19316209
North Carolina,2020-04-05,-43,-14,5,-55,-38,11,Democrat,2020-03-03,2020-03-25,Statewide,2020-03-27,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-10,9535483,35.630066,-79.806419,2585,0.23506928,53819,177.17688920269794,22,24,13,7,2.710927175896596e-4,0.8219902149021686,1163,1,2,0.13558125885241618,-0.8264542475769225,3.301353481517402e-4,-0.34444344
North Dakota,2020-04-05,-50,-15,-2,-44,-28,11,Republican,2020-03-11,2020-03-27,NA,NA,From Certain States,Other,NA,2020-03-15,Closed except for takeout/delivery,2020-03-13,672591,47.528912,-99.784012,207,0.19653179,70700,9.513309759547383,16,NA,4,2,3.077650459194369e-4,1.918452421191475,97,3,2,-1.1872419270662156,5.035104367914553,2.914103816435248e-4,-0.33725127
Ohio,2020-04-05,-46,-18,37,-39,-37,11,Republican,2020-03-09,2020-03-26,Statewide,2020-03-22,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-12,Closed except for takeout/delivery,2020-03-09,11536504,40.388783,-82.764915,4041,0.2201087,44825,257.36762967094256,17,13,3,0,3.5027942607223126e-4,0.865828884020987,1651,2,2,-1.137088914573012,-0.23680114360554505,3.986476318995773e-4,-0.3181771
Oklahoma,2020-04-05,-41,-8,-3,-30,-35,10,Republican,2020-03-06,2020-03-19,High-risk Groups,2020-03-24,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Other,2020-03-15,3751351,35.565342,-96.928917,1252,0.2674772,69898,53.66893187215657,13,18,10,9,3.3374642895319577e-4,1.9800234499930058,429,3,2,-3.255571567618271,1.6276730755029467,3.835951367920518e-4,-0.65418879
Oregon,2020-04-05,-46,-18,-1,-44,-39,11,Democrat,2020-02-28,2020-03-14,Statewide,2020-03-23,NA,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-17,Closed except for takeout/delivery,2020-03-08,3831074,44.572021,-122.070938,1067,0.18819599,98381,38.941197995547924,15,24,18,9,2.78511978625315e-4,0.5938187653609157,548,3,2,0.4660026789457781,-4.198394001512906,2.346600457208605e-4,-0.22828921000000002
Pennsylvania,2020-04-05,-50,-24,52,-51,-39,12,Democrat,2020-03-06,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-06,12702379,40.590752,-77.209755,11496,0.36532067,46055,275.80890239930517,12,17,7,0,9.050273181110404e-4,1.2021352573818407,3393,2,2,1.2660815635817408,-0.6739291118286976,0.0014376834449672774,-0.34174903999999995
Rhode Island,2020-04-05,-50,-25,4,-59,-37,13,Democrat,2020-03-01,2020-03-28,Statewide,2020-03-28,All Travelers,All Non-Essential Retail Businesses,Other,2020-03-18,Closed except for takeout/delivery,2020-03-09,1052567,41.680893,-71.51178,922,0.30780142,1545,681.2731391585761,27,27,17,8,8.759537397619344e-4,1.3517945039846904,267,4,3,3.0919753337870333,-5.826290080832811,0.0019770712933238456,0.05622442999999999
South Carolina,2020-04-05,-42,-11,-24,-41,-38,10,Republican,2020-03-06,2020-03-16,Statewide,2020-04-06,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,4625364,33.856892,-80.945007,2048,0.20541495,32020,144.4523422860712,10,31,9,7,4.4277596314581946e-4,1.5054415696025412,774,1,2,-1.0169094353411243,1.6618697409428784,4.950961697284797e-4,-0.3385714
South Dakota,2020-04-05,-38,-3,81,-36,-29,9,Republican,2020-03-10,2020-03-10,NA,NA,NA,NA,>10 People Prohibited,2020-03-13,NA,2020-03-13,814180,44.299782,-99.438828,240,0.28342246,77117,10.557723977851836,0,NA,3,3,2.947751111547815e-4,3.1219870748143754,90,3,3,-7.152795658492101,9.345242711320141,6.58331081579012e-4,-0.15127667000000006
Tennessee,2020-04-05,-43,-9,2,-42,-38,10,Republican,2020-03-05,2020-03-20,Statewide,2020-03-30,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-12,6346105,35.747845,-86.692345,3632,0.18427919,42143,150.58503191514606,15,25,11,7,5.723195566414359e-4,1.225883513655128,1579,1,2,-1.5902966479731875,0.9611640544029969,5.565618595973435e-4,-0.21132665
Texas,2020-04-05,-48,-23,-47,-53,-39,14,Republican,2020-02-12,2020-03-16,Other,2020-03-31,From Certain States,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,25145561,31.054487,-97.563461,7007,0.22843619,268581,93.62375223861703,33,48,36,30,2.786575332322075e-4,1.9356316025368896,2663,1,2,4.136243620985295,1.5065279529012567,4.094161987477631e-4,-0.16386567000000002
Utah,2020-04-05,-42,-13,16,-49,-43,10,Republican,2020-02-25,2020-03-22,High-risk Groups,2020-03-27,All Travelers,NA,NA,2020-03-13,Closed except for takeout/delivery,2020-03-06,2763885,40.150032,-111.862434,1605,0.29019293,84899,32.55497709042509,26,31,17,10,5.807043346593654e-4,1.3394224667156835,712,3,2,-0.290463341977946,-1.1710516358277914,5.405434741315214e-4,-0.362474
Vermont,2020-04-05,-58,-34,-1,-69,-42,11,Republican,2020-03-07,2020-03-19,Statewide,2020-03-24,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,625741,44.045876,-72.710686,512,0.31619537,9614,65.08643644684835,12,17,8,6,8.182299066227081e-4,2.8263767198727487,234,3,1,6.005374710903389,-3.611476956324953,7.622962215996714e-4,-0.13957349000000002
Virginia,2020-04-05,-44,-18,21,-56,-39,12,Democrat,2020-03-07,2020-03-14,Statewide,2020-03-30,NA,Other,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-12,8001024,37.769337,-78.169968,2635,0.31159781,42774,187.05344368074063,7,23,6,5,3.2933284539578934e-4,0.7439122040373856,888,1,2,0.9287665103588406,0.9052505318401267,5.234330005759263e-4,-0.21438475
Washington,2020-04-05,-46,-21,-11,-56,-42,12,Democrat,2020-01-21,2020-02-26,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-02-29,6724540,47.400902,-121.490494,8017,0.12614131,71300,94.31332398316971,36,62,52,39,0.0011922005073953014,1.2067515033693426,4896,1,2,2.777588152938711,-1.9736400229124813,7.923218539855513e-4,-0.23813931000000002
West Virginia,2020-04-05,-40,-8,28,-36,-33,8,Republican,2020-03-17,2020-03-29,Statewide,2020-03-23,From Certain States,All Non-Essential Businesses,Other,2020-03-13,Closed except for takeout/delivery,2020-03-04,1852994,38.491226,-80.954453,320,0.35021097,24230,76.47519603796945,12,6,-4,-13,1.726934895633769e-4,2.258515182652354,123,3,3,-4.852549608640786,0.9355733452703658,2.525642284864387e-4,-0.14471154
Wisconsin,2020-04-05,-47,-18,124,-40,-33,10,Democrat,2020-02-05,2020-03-19,Statewide,2020-03-24,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-18,Closed except for takeout/delivery,2020-03-12,5686986,44.268543,-89.616508,2266,0.18267223,65498,86.82686494244099,43,48,42,36,3.9845359211364333e-4,2.7735860982836917,1112,3,3,-4.066353704027187,-6.900908444668401,3.694399810374071e-4,-0.20697358999999999
Wyoming,2020-04-05,-39,-11,22,-21,-31,9,Republican,2020-03-11,2020-04-13,NA,NA,All Travelers,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,563626,42.755966,-107.30249,199,0.19879518,97814,5.762222176784509,33,NA,8,2,3.53071008079826e-4,2.8023552053698246,85,3,3,-5.616248576266775,2.677397927927691,3.1226380614095164e-4,-0.07233339
Alabama,2020-04-11,-39,3,11,-35,-29,10,Republican,2020-03-13,2020-03-25,Statewide,2020-04-03,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-17,Closed except for takeout/delivery,2020-03-13,4779736,32.806671,-86.79113,3262,0.14940099,52419,91.18327324061886,12,21,4,0,6.824644708410673e-4,2.3366610949928814,825,3,3,-5.602444050324747,-1.3548656299879678,5.098607956590071e-4,-0.14167881
Alaska,2020-04-11,-41,-4,36,-52,-32,10,Republican,2020-03-12,2020-03-27,Statewide,2020-03-17,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-11,710231,61.370716,-152.404419,258,0.09322034,663267,1.0708070807080707,15,5,1,-1,3.632620936005328e-4,1.8360678348119017,114,3,2,-3.4908319657091615,-3.9424811275167624,2.027509359630881e-4,-0.24795615999999998
Arizona,2020-04-11,-43,-14,-42,-45,-36,14,Republican,2020-01-26,2020-03-20,Statewide,2020-03-30,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-11,6392017,33.729759,-111.431221,3393,0.12425447,113998,56.07130826856611,54,64,50,45,5.308183629674327e-4,1.4365446927424443,919,3,2,1.3558962418096132,3.402843918297631,3.870452785091153e-4,-0.26186923
Arkansas,2020-04-11,-35,1,1,-34,-26,10,Republican,2020-03-11,2020-03-24,NA,NA,NA,NA,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-11,2915918,34.969704,-92.373123,1228,0.07155323,53179,54.83213298482484,13,NA,4,0,4.2113667119582924e-4,2.8842333187431897,445,3,3,-6.373306207896251,3.8766632912392325,2.685260696631387e-4,-0.11511347
California,2020-04-11,-48,-14,-46,-53,-40,18,Democrat,2020-01-25,2020-03-04,Statewide,2020-03-19,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-11,37253956,36.116203,-119.681564,22413,0.11043401,163696,227.58012413253837,39,54,51,46,6.01627381532313e-4,2.575038181077192,6352,2,1,5.069002629259402,0.2885186559976747,4.311219994998652e-4,-0.19575559
Colorado,2020-04-11,-46,-11,-2,-53,-40,14,Democrat,2020-03-05,2020-03-13,Statewide,2020-03-26,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-18,Closed except for takeout/delivery,2020-03-10,5029196,39.059811,-105.311104,6638,0.08855362,104094,48.31398543624032,8,21,13,5,0.0013198928814864245,1.0526843982812715,2306,3,2,1.8746481189620843,-2.529218293698227,8.613702866223547e-4,-0.24285518
Connecticut,2020-04-11,-44,-9,76,-54,-40,15,Democrat,2020-03-08,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,Other,2020-03-11,Closed except for takeout/delivery,2020-03-10,3574097,41.597782,-72.755371,11510,0.17641047,5543,644.7946960129893,10,15,3,2,0.0032203938505306375,1.9448384251870312,1993,4,2,0.059599137534997126,-7.18755160565679,0.002662770484404872,-0.36735403
Delaware,2020-04-11,-41,-16,26,-48,-37,14,Democrat,2020-03-11,2020-03-26,Statewide,2020-03-22,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-12,897934,39.318523,-75.507141,1479,0.22332506,2489,360.7609481719566,15,11,2,1,0.001647114375889542,1.1789950769524884,232,2,2,0.06412884119537443,-2.559328241612718,0.001388743493397065,-0.18273554
Florida,2020-04-11,-49,-20,-54,-65,-40,15,Republican,2020-03-01,2020-03-07,Statewide,2020-04-01,From Certain States,All Non-Essential Businesses,Other,2020-03-17,Closed except for takeout/delivery,2020-03-09,18801310,27.766279,-81.686783,18986,0.12837276,65755,285.92973918333206,6,31,16,8,0.0010098232516776756,2.659762590841756,4948,2,1,5.610027312481833,0.20933985210641115,7.466501004451285e-4,-0.41884424
Georgia,2020-04-11,-40,-5,3,-53,-36,13,Republican,2020-03-02,2020-03-12,Statewide,2020-03-23,NA,Other,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-14,9687653,33.040619,-83.643074,12261,0.12641249,59425,163.02318889356332,10,21,14,12,0.0012656316240889306,0.8924182466889529,2682,1,2,-0.7800132350658131,-0.8154709793955298,9.887843835859936e-4,-0.09434311000000001
Hawaii,2020-04-11,-55,-29,-66,-74,-47,18,Democrat,2020-03-06,2020-03-30,Statewide,2020-03-17,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-04,1360301,21.094318,-157.498337,486,0.09954751,10931,124.44433263196414,24,11,9,-2,3.5727386806302426e-4,4.598887151874539,173,1,1,10.692315343947971,0.5400217643042691,2.300961331352399e-4,-0.36655419
Idaho,2020-04-11,-40,0,12,-35,-34,11,Republican,2020-03-13,2020-03-26,Statewide,2020-03-19,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-25,Closed except for takeout/delivery,2020-03-13,1567582,44.240459,-114.478828,1407,0.03991131,83570,18.757712097642695,13,6,12,0,8.975607017687113e-4,1.535868855448928,314,3,2,-3.905148435244073,-1.8897628053472415,6.972522011607687e-4,-0.30196899000000005
Illinois,2020-04-11,-46,-1,10,-46,-38,14,Democrat,2020-01-24,2020-03-17,Statewide,2020-03-20,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-09,12830632,40.349457,-88.986137,19180,0.16794544,57914,221.5462927789481,53,56,49,45,0.0014948601128923346,0.640107146862438,4596,2,2,-0.188129046592998,-4.460894333367775,0.001136654842879135,-0.35038956
Indiana,2020-04-11,-40,-2,70,-29,-36,12,Republican,2020-03-06,2020-03-16,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-06,6483802,39.849426,-86.258278,7435,0.17068178,36418,178.03838761052228,10,17,13,0,0.0011467037395651502,2.062590523918255,1514,1,3,-4.741085961189012,0.30507687954185947,9.131987682535649e-4,-0.40312282
Iowa,2020-04-11,-44,7,40,-28,-28,12,Republican,2020-03-08,2020-03-24,NA,NA,NA,Other,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-09,3046355,42.011539,-93.210526,1510,0.18897638,56272,54.13624893375036,16,NA,7,1,4.956743386768778e-4,2.468593994170299,336,3,3,-5.804688314897803,-0.7756054949788407,3.853785917924864e-4,-0.24081081999999998
Kansas,2020-04-11,-41,-3,97,-23,-31,11,Democrat,2020-03-07,2020-03-12,Statewide,2020-03-23,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-17,Limited On-site Service,2020-03-12,2853118,38.5266,-96.726486,1264,0.14285714,82277,34.67698141643473,5,16,10,5,4.430240880328118e-4,2.990761457989638,320,3,3,-6.864164505317518,0.32373382421971364,3.308660910624797e-4,-0.41811846
Kentucky,2020-04-11,-39,3,60,-36,-33,10,Democrat,2020-03-06,2020-03-16,Statewide,2020-03-26,Other,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-06,4339367,37.66814,-84.670067,1845,0.21943159,40409,107.38615159989111,10,20,10,0,4.2517722054852703e-4,2.3181160876684856,396,1,3,-5.95224418426031,-0.44978883464234887,3.3391967077225785e-4,-0.09264890999999997
Louisiana,2020-04-11,-45,-2,-35,-54,-36,14,Democrat,2020-03-09,2020-03-14,Statewide,2020-03-22,NA,NA,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-11,4533372,31.169546,-91.867805,20014,0.09467812,51840,87.44930555555555,5,13,4,2,0.004414815285399036,1.2856076469947162,3537,1,2,1.0223709676714516,0.848907998679554,0.003634601351929645,-0.19431607999999997
Maine,2020-04-11,-43,-2,-16,-55,-33,10,Democrat,2020-03-12,2020-03-27,Statewide,2020-03-31,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-31,Closed except for takeout/delivery,2020-03-15,1328361,44.693947,-69.381927,615,0.09821429,35385,37.54022891055532,15,19,19,3,4.629765553189231e-4,1.7867803876761605,253,3,2,-1.7810685288301853,-2.750513846812167,2.725162813421954e-4,-0.40773811
Maryland,2020-04-11,-43,-14,24,-49,-39,15,Republican,2020-03-05,2020-03-19,Statewide,2020-03-30,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-05,5773552,39.063946,-76.802101,7694,0.24397736,12407,465.34633674538566,14,25,11,0,0.0013326285101441886,1.202561900192226,1242,2,2,1.0475007312957085,-0.5263377694653741,0.001117509637048389,-0.36274964
Massachusetts,2020-04-11,-49,-12,33,-64,-44,16,Republican,2020-02-01,2020-03-20,Statewide,2020-03-23,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-10,6547629,42.230171,-71.530106,22859,0.20685286,10555,620.3343439128375,48,51,43,38,0.003491187420667848,2.416053404760191,4851,4,2,3.896449783599494,-6.011640859897293,0.0027503085468037363,-0.29036934000000003
Michigan,2020-04-11,-58,-15,59,-51,-45,16,Democrat,2020-03-10,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-10,9883640,43.326618,-84.536095,23993,0.1157978,96716,102.19239836221514,8,13,6,0,0.0024275469361490303,3.0802010525924435,5465,1,1,4.111538416256808,-0.5441889642019921,0.001874612996831127,-0.3790053
Minnesota,2020-04-11,-44,-2,50,-51,-36,14,Democrat,2020-03-06,2020-03-21,Statewide,2020-03-25,NA,NA,NA,2020-03-15,Closed except for takeout/delivery,2020-03-13,5303925,45.694454,-93.900192,1427,0.14618474,86939,61.007430497245196,15,19,9,7,2.6904603666152895e-4,1.1462473369496409,503,3,2,-1.3158123926219705,-7.888457885706851,1.742106081816768e-4,-0.12401725999999999
Mississippi,2020-04-11,-35,1,-12,-38,-32,11,Republican,2020-03-11,2020-03-19,Statewide,2020-03-31,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-14,2967297,32.741646,-89.678696,2642,0.170062,48430,61.26981209993806,8,20,8,3,8.903726185818272e-4,2.083325173924106,756,3,3,-4.303685615645452,2.4120452036450546,6.355952909331288e-4,-0.3919215
